ticker,event_date,decision,review_note
2881,2021-07-26,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2881,2021-09-06,use_official,TWSE TWT49U captures the full ex-right factor
2881,2022-07-27,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2881,2023-07-20,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2881,2024-07-19,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2881,2025-07-01,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2882,2022-07-04,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2885,2021-07-09,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2885,2022-06-28,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2885,2023-06-29,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2885,2024-06-27,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2885,2025-07-01,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2885,2026-07-21,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2886,2021-08-12,use_official,TWSE TWT49U pre-close/reference-price pair is authoritative
2886,2022-08-11,use_official,TWSE TWT49U captures combined cash and stock distribution
2886,2023-08-10,use_official,TWSE TWT49U captures combined cash and stock distribution
2887,2021-09-07,use_official,TWSE TWT49U captures combined cash and stock distribution
2887,2022-08-24,use_official,TWSE TWT49U captures combined cash and stock distribution
2887,2023-07-26,use_official,TWSE TWT49U captures combined cash and stock distribution
