ticker,exchange,name,price_date,interval,open,high,low,close,adjusted_close,volume,data_source
GLD,AMEX,SPDR Gold Shares,2025-06-03,1d,309.560000,309.560000,307.150000,308.910000,308.910000,9315100,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-04,1d,309.410000,311.880000,308.740000,310.900000,310.900000,7462500,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-05,1d,311.240000,312.200000,307.650000,309.330000,309.330000,10817800,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-06,1d,309.090000,309.200000,305.100000,305.180000,305.180000,7787500,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-09,1d,305.390000,307.610000,305.060000,306.620000,306.620000,7159000,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-10,1d,308.310000,308.600000,305.870000,306.710000,306.710000,7071700,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-11,1d,307.500000,308.620000,305.850000,308.370000,308.370000,9248800,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-12,1d,311.740000,313.100000,311.150000,312.200000,312.200000,11531400,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-13,1d,317.260000,317.600000,315.040000,316.290000,316.290000,16592900,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-16,1d,314.800000,314.870000,311.650000,311.780000,311.780000,12848400,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-17,1d,312.660000,313.000000,310.120000,311.940000,311.940000,8234100,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-18,1d,312.890000,312.980000,309.860000,310.260000,310.260000,9370800,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-20,1d,309.330000,310.890000,309.250000,310.130000,310.130000,8794700,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-23,1d,310.340000,312.670000,310.310000,311.080000,311.080000,12687900,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-24,1d,305.070000,306.340000,303.540000,306.190000,306.190000,12035200,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-25,1d,305.310000,307.360000,305.120000,307.120000,307.120000,6733200,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-26,1d,305.770000,307.280000,304.860000,306.780000,306.780000,6787500,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-27,1d,300.030000,302.360000,299.890000,301.220000,301.220000,13301300,FinMind
GLD,AMEX,SPDR Gold Shares,2025-06-30,1d,302.390000,304.920000,301.950000,304.830000,304.830000,8192100,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-01,1d,308.560000,309.000000,307.360000,307.550000,307.550000,9335600,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-02,1d,308.040000,309.400000,306.960000,309.250000,309.250000,8316400,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-03,1d,307.050000,307.570000,306.150000,307.140000,307.140000,5275800,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-07,1d,305.070000,307.710000,304.530000,307.370000,307.370000,7351600,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-08,1d,306.300000,306.450000,302.770000,304.160000,304.160000,11840500,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-09,1d,303.580000,305.540000,303.230000,305.520000,305.520000,10644100,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-10,1d,306.110000,306.510000,304.820000,306.200000,306.200000,7053700,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-11,1d,308.860000,310.280000,308.520000,309.140000,309.140000,9187300,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-14,1d,309.070000,309.380000,307.730000,308.010000,308.010000,5772900,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-15,1d,307.730000,308.740000,305.790000,306.730000,306.730000,8149000,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-16,1d,307.110000,311.090000,305.730000,308.260000,308.260000,17693100,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-17,1d,305.500000,307.670000,305.120000,307.590000,307.590000,6642300,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-18,1d,309.240000,309.370000,308.320000,308.390000,308.390000,5574300,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-21,1d,311.880000,313.310000,311.610000,313.130000,313.130000,10995800,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-22,1d,314.480000,316.240000,313.620000,316.100000,316.100000,13691800,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-23,1d,314.000000,314.960000,311.420000,312.180000,312.180000,10547500,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-24,1d,309.290000,310.990000,309.060000,310.270000,310.270000,7698800,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-25,1d,307.820000,308.310000,306.200000,307.400000,307.400000,9376400,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-28,1d,306.440000,306.580000,304.050000,305.410000,305.410000,9275400,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-29,1d,305.800000,307.030000,304.990000,306.250000,306.250000,5741100,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-30,1d,304.420000,304.650000,300.960000,300.960000,300.960000,13459600,FinMind
GLD,AMEX,SPDR Gold Shares,2025-07-31,1d,304.590000,304.610000,302.860000,302.960000,302.960000,8981000,FinMind
GLD,AMEX,SPDR Gold Shares,2025-08-01,1d,308.610000,309.550000,307.450000,309.110000,309.110000,12843400,FinMind
GLD,AMEX,SPDR Gold Shares,2025-08-04,1d,310.800000,311.740000,310.370000,310.910000,310.910000,7639000,FinMind
GLD,AMEX,SPDR Gold Shares,2025-08-05,1d,310.370000,312.240000,310.220000,311.160000,311.160000,6997700,FinMind
GLD,AMEX,SPDR Gold Shares,2025-08-06,1d,310.320000,311.240000,309.840000,310.500000,310.500000,7418200,FinMind
GLD,AMEX,SPDR Gold Shares,2025-08-07,1d,311.720000,313.140000,310.700000,313.120000,313.120000,10891500,FinMind
GLD,AMEX,SPDR Gold Shares,2025-08-08,1d,312.350000,313.530000,311.000000,313.050000,313.050000,19886800,FinMind
GLD,AMEX,SPDR Gold Shares,2025-08-11,1d,308.620000,309.660000,307.630000,308.550000,308.550000,10326700,FinMind
GLD,AMEX,SPDR Gold Shares,2025-08-12,1d,308.220000,309.310000,306.710000,308.270000,308.270000,9697400,FinMind
GLD,AMEX,SPDR Gold Shares,2025-08-13,1d,309.100000,310.390000,308.450000,309.210000,309.210000,4718600,FinMind
